Vendor,Product_Type,Fabric_Type,Fabric_Type_Description,Lifestyle_Hero_Image_URL
Vendor_SBM,Roller Shade,Light Filtering,"Soft, diffused light with daytime privacy. Glare reduced, view outside preserved.",https://media.swipepages.com/2026/7/647a08c83e0a2d001096bc49/hero-roller-shades.png
Vendor_SBM,Roller Shade,Blackout,"Complete light blocking. Total privacy, total darkness for restful sleep",https://media.swipepages.com/2026/7/647a08c83e0a2d001096bc49/roller--hero-bedroom.png
Vendor_SBM,Solar Shade,1%,Maximum privacy. Minimal light.,https://media.swipepages.com/2026/8/647a08c83e0a2d001096bc49/1--solar-shade.png
Vendor_SBM,Solar Shade,3%,Strong privacy with some natural light. Versatile,https://media.swipepages.com/2026/8/647a08c83e0a2d001096bc49/3--solar-shade-crilv5.png
Vendor_SBM,Solar Shade,5%,Balanced privacy and light. Most popular,https://media.swipepages.com/2026/8/647a08c83e0a2d001096bc49/5--solar-shade-9l8o4m.png
Vendor_SBM,Zebra Blind,Light Filtering,"Soft, diffused light with daytime privacy. Glare reduced, view outside preserved.",https://media.swipepages.com/2026/8/647a08c83e0a2d001096bc49/hero-zebra-blind.png
Vendor_SBM,Zebra Blind,Blackout,"Total privacy, total darkness for restful sleep.",https://media.swipepages.com/2026/8/647a08c83e0a2d001096bc49/zebrabo-hero.png
Vendor_SBM,Sheer Shade,Light Filtering,,
Vendor_SBM,Sheer Shade,Blackout,,
,,,,
,,,,
