Vendor,Product_Type,Accessory_ID,Color_ID,Image_URL
Vendor_SBM,Roller Shade,metal-valance,wht,
Vendor_SBM,Roller Shade,metal-valance,slv,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/metal_valance_-_silver.png?v=1785428346
Vendor_SBM,Roller Shade,metal-valance,blk,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/metal_valance_-_black.png?v=1785428346
Vendor_SBM,Roller Shade,nova-cassette,wht,
Vendor_SBM,Roller Shade,nova-cassette,slv,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nova-cassette_-_silver.png?v=1785428347
Vendor_SBM,Roller Shade,nova-cassette,blk,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nova-cassette_-_black.png?v=1785428347
Vendor_SBM,Solar Shade,metal-valance,wht,
Vendor_SBM,Solar Shade,metal-valance,slv,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/metal_valance_-_silver.png?v=1785428346
Vendor_SBM,Solar Shade,metal-valance,blk,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/metal_valance_-_black.png?v=1785428346
Vendor_SBM,Solar Shade,nova-cassette,wht,
Vendor_SBM,Solar Shade,nova-cassette,slv,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nova-cassette_-_silver.png?v=1785428347
Vendor_SBM,Solar Shade,nova-cassette,blk,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nova-cassette_-_black.png?v=1785428347
Vendor_SBM,Zebra Blind,nova-cassette,wht,
Vendor_SBM,Zebra Blind,nova-cassette,slv,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nova-cassette_-_silver.png?v=1785428347
Vendor_SBM,Zebra Blind,nova-cassette,blk,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/nova-cassette_-_black.png?v=1785428347
Vendor_SBM,Sheer Shade,nova-cassette,wht,
Vendor_SBM,Sheer Shade,nova-cassette,slv,
Vendor_SBM,Sheer Shade,nova-cassette,blk,
