Collection_ID,Color_Name,Color_Code,Image_URL,preview_image_url,,,,,,,,,,,,,,,,,,,,,
roller-jamboree,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/jamboree01-white.png?v=1780405818,,,,,,,,,,,,,,,,,,,,,,
roller-jamboree,grey,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/jamboree08-grey.png?v=1780405819,,,,,,,,,,,,,,,,,,,,,,
roller-bocalf,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca-01-white.png?v=1779715760,,,,,,,,,,,,,,,,,,,,,,
roller-bocalf,ivory,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca-02-ivory.png?v=1779715762,,,,,,,,,,,,,,,,,,,,,,
roller-bocalf,grey,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca_06_grey.png?v=1779715761,,,,,,,,,,,,,,,,,,,,,,
roller-bocalf,black,10,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca_10_black.png?v=1779715760,,,,,,,,,,,,,,,,,,,,,,
roller-chic,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/chic-_01_white.png?v=1780405640,,,,,,,,,,,,,,,,,,,,,,
roller-chic,ivory,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/chic_ivory.png?v=1780405641,,,,,,,,,,,,,,,,,,,,,,
roller-chic,grey,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/chic_grey.png?v=1780405642,,,,,,,,,,,,,,,,,,,,,,
roller-chic,black,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/chic_black.png?v=1780405640,,,,,,,,,,,,,,,,,,,,,,
roller-bocabo,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca_bo_white.png?v=1780406358,,,,,,,,,,,,,,,,,,,,,,
roller-bocabo,ivory,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca_bo_ivory.png?v=1780406358,,,,,,,,,,,,,,,,,,,,,,
roller-bocabo,grey,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca_bo_grey.png?v=1780406358,,,,,,,,,,,,,,,,,,,,,,
roller-bocabo,black,10,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/boca_bo_noire.png?v=1780406358,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_white.png?v=1780406469,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,ivory,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_ivoire.png?v=1780406468,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,dolphin,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_dolphin.png?v=1780406469,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,linen,5,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_lin.png?v=1780406469,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,black,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_noire.png?v=1780406468,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,mocha,7,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_mocha.png?v=1780406469,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,nut brown,8,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_nut_brown.png?v=1780406469,,,,,,,,,,,,,,,,,,,,,,
roller-obskur,dark grey,9,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/obskur_gris_fonce.png?v=1780406469,,,,,,,,,,,,,,,,,,,,,,
roller-polyflex,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/polyflex_white.png?v=1780406644,,,,,,,,,,,,,,,,,,,,,,
roller-polyflex,black,5,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/polyflex_black.png?v=1780406645,,,,,,,,,,,,,,,,,,,,,,
roller-polyflex,grey,3,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/polyflex_grey.png?v=1780406644,,,,,,,,,,,,,,,,,,,,,,
roller-polyflex,champagne,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/polyflex_champagne.png?v=1780406644,,,,,,,,,,,,,,,,,,,,,,
roller-polyflex,ivory,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/polyflex_ivory.png?v=1780406644,,,,,,,,,,,,,,,,,,,,,,
roller-royal,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/royal_white.png?v=1780406758,,,,,,,,,,,,,,,,,,,,,,
roller-royal,ivory,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/royal_ivoire.png?v=1780406758,,,,,,,,,,,,,,,,,,,,,,
roller-royal,medium grey,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/royal_medium_grey.png?v=1780406758,,,,,,,,,,,,,,,,,,,,,,
roller-royal,black,12,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/royal_noire.png?v=1780406762,,,,,,,,,,,,,,,,,,,,,,
roller-royal,light grey,5,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/royal_light_grey.png?v=1780406758,,,,,,,,,,,,,,,,,,,,,,
roller-shanellf,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/shanel_tr_white.png?v=1780584919,,,,,,,,,,,,,,,,,,,,,,
roller-shanellf,beige,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/shanel_tr_beige.png?v=1780584917,,,,,,,,,,,,,,,,,,,,,,
roller-shanellf,grey,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/shanel_tr_grey.png?v=1780584920,,,,,,,,,,,,,,,,,,,,,,
roller-shanellf,brown,5,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/shanel_tr_brun.png?v=1780584917,,,,,,,,,,,,,,,,,,,,,,
roller-shanellf,black,6,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/shanel_tr_noire.png?v=1780584919,,,,,,,,,,,,,,,,,,,,,,
roller-misticbo,almond,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/misticblackout_amande.png?v=1780406413,,,,,,,,,,,,,,,,,,,,,,
roller-misticbo,black,4,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/misticblackout_black.png?v=1780406416,,,,,,,,,,,,,,,,,,,,,,
roller-misticbo,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/misticblackout_white.png?v=1780406413,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,white,1,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_blanc_01.png?v=1780584848,,,,,,,,,,,,,,,,,,,,,,
roller-shanelbo,beige,2,https://cdn.shopify.com/s/files/1/0799/1456/5913/files/Shanelbo_beige_02.png?v=1780584848,,,,,,,,,,,,,,,,,,,,,,
